Timestamp;Participant ID:;Self assesment_Mean;Self Assesment_sum;Sum( reversed negative values);Personal positive;Personal negative;Social Posiitve;Social negative;TA Time_NQ;TA Time_q;Assembly time_No question;Assembly time_ question;Robot N_task_No question;Robot N_task_ question;Mental_NQ;Mental_Q;Physical_NQ;Physical_Q;Temporal_NQ;Temporal_Q;Performance_NQ;Performance_Q;Effort_NQ;Effort_Q;Frustration_NQ;Frustration_Q;Satisfaction_NQ;Satisfaction_Q;Fairness_NQ;Fairness_Q;Efficency_NQ;Efficency_Q;TA_Satis_NQ;TA_Satis_Q;Willingness_NQ;Willingness_Q;TA_Difficulty_NQ;TA_Difficulty_Q
9/9/2025 10:40:18;p11;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;109;126;347;581;19;21;4;10;7;9;6;8;10;10;7;9;6;9;10;9;10;8;9;9;9;9;10;10;4;10
9/9/2025 14:43:18;P14;3,1;31;64;10;9;22;18;249;139;311;374;19;22;2;5;2;3;2;4;8;7;3;4;1;1;9;9;6;8;4;8;7;8;10;8;4;3
9/9/2025 15:54:03;P15;3,3;33;64;17;8;23;19;127;171;244;668;10;17;3;7;6;4;6;5;10;6;6;6;3;5;9;7;10;10;8;7;8;6;10;10;6;7
9/9/2025 16:58:31;P16;3,4;34;64;14;9;22;18;137;510;305;433;15;19;1;6;5;6;2;8;10;9;6;7;2;5;9;8;8;7;8;4;8;6;10;10;8;8
9/10/2025 14:02:17;P18;3,9;39;72;16;8;19;7;407;624;250;356;13;19;5;8;5;4;6;8;9;9;5;7;2;2;9;9;8;7;7;8;9;8;9;9;8;8
9/10/2025 16:36:16;P10;3,1;31;64;10;9;22;18;280;470;269;376;15;22;2;4;5;3;5;3;10;10;6;2;1;1;10;10;10;10;10;7;7;10;10;10;3;3
9/12/2025 9:37:26;P20;3,2;32;63;25;5;24;21;125;413;272;413;15;18;1;4;1;2;3;5;10;8;3;7;3;4;10;8;10;6;10;3;10;4;10;10;7;7
9/12/2025 11:50:51;P22;3,9;39;64;20;17;21;17;254;406;346;396;20;22;2;3;2;3;2;5;9;9;3;6;1;1;9;9;8;7;8;7;8;7;10;10;2;2
9/12/2025 17:16:24;P26;3;30;62;8;7;23;21;64;158;305;410;16;16;8;7;8;9;9;8;9;10;8;7;1;2;9;9;10;10;10;9;10;9;9;9;3;4
9/15/2025 11:48:54;P27;3,4;34;73;15;6;24;11;530;139;295;412;17;22;2;6;4;2;2;5;10;10;3;4;1;2;9;10;10;10;8;9;8;9;9;10;6;2
9/15/2025 13:44:16;P28;3,2;32;73;21;8;24;11;254;497;220;326;12;18;3;6;4;4;3;7;10;9;3;6;2;1;6;8;7;8;8;7;7;7;9;9;3;6
9/16/2025 11:32:36;P29;2,9;29;70;22;8;24;14;454;159;240;260;11;12;2;4;2;2;3;5;10;10;3;5;1;1;10;10;10;10;10;10;10;10;10;10;4;4
9/16/2025 13:34:55;P30;3;30;69;19;7;24;15;276;378;336;420;16;20;4;7;3;3;6;5;10;10;6;6;2;7;9;8;7;9;8;9;8;9;10;9;5;3
9/17/2025 14:35:30;P34;2,8;28;65;21;8;22;17;202;564;236;373;13;17;2;7;3;3;5;7;8;8;5;3;2;2;7;8;8;9;6;7;5;6;9;9;7;7
9/18/2025 13:28:30;P36;3,6;36;78;21;9;25;7;177;447;345;386;20;22;1;6;5;6;2;7;7;5;3;4;2;1;7;6;7;6;8;7;7;7;10;9;8;9
